"OWNER_CODE","DISCOVERY_DOY","FIRE_SIZE","LATITUDE","LONGITUDE","STAT_CAUSE_DESCR"
5,282,5,37.06527778,-83.07027778,"Arson"
13,132,0.1,47.25472222,-94.22083333,"Arson"
5,21,0.1,32.96,-79.79361111,"Arson"
13,37,211.4,37.41916667,-91.36611111,"Arson"
5,32,0.1,33.73444444,-111.51666667,"Arson"
13,63,8,34.87166667,-89.01,"Arson"
5,77,9,34.82833333,-89.10666667,"Arson"
13,72,63,37.24916667,-83.54638889,"Arson"
5,109,0.25,35.68666667,-106.65444444,"Arson"
13,307,1.5,33.67722222,-108.86638889,"Arson"
5,239,0.25,45.32944444,-113.01527778,"Arson"
5,351,4,35.34333333,-84.26083333,"Arson"
5,307,3,43.79638889,-118.90666667,"Arson"
14,136,0.1,34.48833333,-118.36611111,"Arson"
5,267,12,37.44333333,-84.25777778,"Arson"
5,273,1,41.30277778,-123.73777778,"Arson"
5,92,25,35.72861111,-94.29472222,"Arson"
5,126,0.5,48.32555556,-115.53888889,"Arson"
13,87,1.06,47.54138889,-94.57361111,"Arson"
5,207,0.34,46.60972222,-114.14166667,"Arson"
5,103,1,31.62055556,-92.49055556,"Arson"
5,325,152,36.93111111,-92.99027778,"Arson"
5,66,0.1,36.85666667,-93.01888889,"Arson"
13,308,7,35.85777778,-83.02944444,"Arson"
5,323,29,37.49916667,-92.32388889,"Arson"
5,175,25,37.50555556,-84.00388889,"Arson"
14,113,2.52,31.12055556,-88.85305556,"Arson"
5,193,0.3,41.26777778,-122.03583333,"Arson"
5,89,3,36.865,-93.01638889,"Arson"
5,96,608,34.35055556,-94.64944444,"Arson"
5,115,22.6,47.29444444,-94.11722222,"Arson"
5,272,0.1,34.685,-93.50555556,"Arson"
5,76,50,30.06833333,-93.27055556,"Arson"
5,296,0.1,34.87833333,-84.71111111,"Arson"
5,155,1,35.99444444,-82.78,"Arson"
5,239,1,38.97916667,-86.2975,"Arson"
5,328,2,34.26555556,-117.50166667,"Arson"
5,6,18,34.4875,-94.24916667,"Arson"
5,65,59,36.86138889,-84.42111111,"Arson"
5,200,10,34.75222222,-94.63638889,"Arson"
5,156,425,31.65777778,-92.54361111,"Arson"
5,289,2,37.14277778,-83.68166667,"Arson"
5,143,0.1,34.53777778,-111.83222222,"Arson"
5,98,30,35.63972222,-93.3,"Arson"
5,56,1,31.54888889,-92.44527778,"Arson"
13,77,0.25,36.76527778,-92.64166667,"Arson"
5,226,1.5,34.66055556,-93.33472222,"Arson"
5,67,1,31.565,-92.55916667,"Arson"
5,67,306,31.4575,-95.19972222,"Arson"
5,269,0.25,38.24305556,-83.40472222,"Arson"
5,231,0.1,43.31527778,-122.34388889,"Arson"
5,336,4,36.71583333,-91.22805556,"Arson"
5,58,60,37.45138889,-88.59111111,"Arson"
5,73,4,34.21972222,-94.785,"Arson"
5,171,0.1,43.35722222,-115.43777778,"Arson"
5,229,0.25,40.60194444,-123.11666667,"Arson"
5,240,0.1,45.16527778,-121.8925,"Arson"
5,68,30,36.86111111,-84.39777778,"Arson"
5,285,1.4,34.28694444,-87.31694444,"Arson"
5,90,156.1,37.85805556,-91.12,"Arson"
5,89,2.25,37.03833333,-91.35388889,"Arson"
5,147,3,35.3325,-84.21583333,"Arson"
5,265,0.1,37.75611111,-120.07583333,"Arson"
5,135,2.3,47.30333333,-93.91194444,"Arson"
5,227,3,47.96388889,-120.31583333,"Arson"
5,231,0.5,36.94416667,-84.23333333,"Arson"
5,231,0.1,47.79555556,-116.56833333,"Arson"
5,262,2750,34.28444444,-117.2125,"Arson"
13,235,46,39.53277778,-123.08194444,"Arson"
5,73,13.64,34.35305556,-93.78138889,"Arson"
5,349,0.01,40.70138889,-123.28361111,"Arson"
5,102,122,35.045,-93.32027778,"Arson"
5,60,0.1,33.98194444,-82.43666667,"Arson"
5,76,3,34.1725,-94.86444444,"Arson"
5,124,0.1,35.49166667,-93.12,"Arson"
5,54,0.5,34.96222222,-83.08361111,"Arson"
13,59,21,37.03333333,-83.7975,"Arson"
5,76,95,34.48666667,-94.30472222,"Arson"
6,171,0.12,46.28777778,-86.67388889,"Arson"
5,90,6,34.655,-89.36833333,"Arson"
5,71,1.3,36.62194444,-93.55638889,"Arson"
14,316,1555,36.61222222,-84.24305556,"Arson"
5,120,55,36.87944444,-84.55111111,"Arson"
5,106,2,36.90722222,-92.09555556,"Arson"
5,197,0.1,47.78555556,-120.65027778,"Arson"
5,192,41.3,37.61138889,-112.28972222,"Arson"
5,20,28.5,31.31111111,-95.02222222,"Arson"
5,5,10,30.71,-95.41083333,"Arson"
5,192,0.33,43.72,-105.41138889,"Arson"
5,85,3.25,35.02972222,-84.48,"Arson"
5,90,5,37.0275,-91.3,"Arson"
5,43,170,35.27833333,-84.18444444,"Arson"
5,319,172,35.87833333,-92.905,"Arson"
5,70,35,30.58388889,-89.04527778,"Arson"
5,343,0.1,35.81833333,-81.94333333,"Arson"
14,351,7,36.62083333,-93.82083333,"Arson"
5,300,0.1,34.26527778,-118.18194444,"Arson"
5,101,28,36.60166667,-84.35,"Arson"
5,334,0.1,34.27222222,-117.13694444,"Arson"
14,337,12.5,31.06444444,-89.17361111,"Arson"
5,299,0.2,34.28527778,-111.12444444,"Campfire"
5,167,0.1,39.64777778,-106.36916667,"Campfire"
5,110,0.1,45.94305556,-84.83833333,"Campfire"
5,271,4,45.22333333,-118.69472222,"Campfire"
5,23,0.1,35.32555556,-111.485,"Campfire"
5,136,0.1,33,-105.79027778,"Campfire"
5,247,0.28,45.20555556,-116.1975,"Campfire"
5,324,0.25,45.84194444,-113.44333333,"Campfire"
5,182,0.01,48.7475,-116.20527778,"Campfire"
5,292,0.1,35.95333333,-111.9675,"Campfire"
5,92,1.9,39.13944444,-105.10277778,"Campfire"
5,183,0.1,30.2075,-84.45,"Campfire"
5,230,0.1,48.51888889,-115.51777778,"Campfire"
13,120,1,39.48555556,-82.29138889,"Campfire"
5,306,9,44.28444444,-119.20333333,"Campfire"
5,165,0.1,38.85916667,-120.01277778,"Campfire"
5,184,0.1,43.80916667,-122.39277778,"Campfire"
5,243,0.1,44.295,-124.02361111,"Campfire"
5,220,1,34.46194444,-112.55805556,"Campfire"
5,146,0.1,39.66472222,-106.57888889,"Campfire"
5,178,0.1,34.18277778,-117.87666667,"Campfire"
5,164,0.1,43.78333333,-119,"Campfire"
5,4,11,30.92916667,-88.815,"Campfire"
5,194,0.3,48.41944444,-115.65777778,"Campfire"
5,188,0.1,47.38583333,-113.55111111,"Campfire"
5,239,0.1,46.66055556,-112.33083333,"Campfire"
5,266,0.5,39.82027778,-121.07527778,"Campfire"
5,144,0.3,44.28166667,-121.54555556,"Campfire"
5,232,0.1,43.46333333,-122.00972222,"Campfire"
14,192,8,44.95361111,-123.91416667,"Campfire"
5,272,0.2,39.38111111,-120.22388889,"Campfire"
5,244,0.1,44.42222222,-124.0175,"Campfire"
13,60,82,31.74694444,-93.92083333,"Campfire"
13,134,1543,31.34305556,-110.64833333,"Campfire"
13,196,0.1,48.40777778,-115.55777778,"Campfire"
5,194,0.1,44.05333333,-121.41861111,"Campfire"
5,227,0.3,44.15361111,-119.27416667,"Campfire"
13,246,0.1,48.40833333,-115.50833333,"Campfire"
5,46,3,32.62333333,-109.82166667,"Campfire"
5,225,3,44.84916667,-122.12166667,"Campfire"
5,155,0.1,37.51583333,-108.56916667,"Campfire"
5,189,0.1,48.07611111,-121.63027778,"Campfire"
5,179,0.1,39.59555556,-120.07638889,"Campfire"
13,206,0.1,39.30388889,-120.59166667,"Campfire"
13,188,0.1,43.81027778,-115.80388889,"Campfire"
5,204,0.1,39.61888889,-105.92305556,"Campfire"
5,291,0.1,40.05611111,-106.6625,"Campfire"
5,126,0.25,35.03916667,-111.72944444,"Campfire"
5,260,0.1,41.03444444,-122.7,"Campfire"
5,181,0.1,43.85083333,-121.49444444,"Campfire"
13,115,0.12,44.40555556,-83.3425,"Campfire"
5,112,17,44.42277778,-83.42694444,"Campfire"
5,105,4,31.42277778,-110.29916667,"Campfire"
5,300,5,43.90861111,-119.70888889,"Campfire"
13,297,0.1,33.73888889,-116.84166667,"Campfire"
5,323,0.1,44.535,-117.87833333,"Campfire"
5,105,3.2,33.3775,-79.86,"Campfire"
5,175,0.1,39.72583333,-107.64222222,"Campfire"
